date,datatype,station,attributes,value
1893-01-01T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-01T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-01T00:00:00,TMAX,GHCND:USC00422721,",,6,",50
1893-01-01T00:00:00,TMIN,GHCND:USC00422721,",,6,",-67
1893-01-02T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-02T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-02T00:00:00,TMAX,GHCND:USC00422721,",,6,",17
1893-01-02T00:00:00,TMIN,GHCND:USC00422721,",,6,",-44
1893-01-03T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-03T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-03T00:00:00,TMAX,GHCND:USC00422721,",,6,",67
1893-01-03T00:00:00,TMIN,GHCND:USC00422721,",,6,",-44
1893-01-04T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-04T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-04T00:00:00,TMAX,GHCND:USC00422721,",,6,",94
1893-01-04T00:00:00,TMIN,GHCND:USC00422721,",,6,",-50
1893-01-05T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-05T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-05T00:00:00,TMAX,GHCND:USC00422721,",,6,",33
1893-01-05T00:00:00,TMIN,GHCND:USC00422721,",,6,",-56
1893-01-06T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-06T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-06T00:00:00,TMAX,GHCND:USC00422721,",,6,",28
1893-01-06T00:00:00,TMIN,GHCND:USC00422721,",,6,",-50
1893-01-07T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-07T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-07T00:00:00,TMAX,GHCND:USC00422721,",,6,",22
1893-01-07T00:00:00,TMIN,GHCND:USC00422721,",,6,",-83
1893-01-08T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-08T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-08T00:00:00,TMAX,GHCND:USC00422721,",,6,",33
1893-01-08T00:00:00,TMIN,GHCND:USC00422721,",,6,",-78
1893-01-09T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-09T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-09T00:00:00,TMAX,GHCND:USC00422721,",,6,",-6
1893-01-09T00:00:00,TMIN,GHCND:USC00422721,",,6,",-72
1893-01-10T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-10T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-10T00:00:00,TMAX,GHCND:USC00422721,",,6,",-22
1893-01-10T00:00:00,TMIN,GHCND:USC00422721,",,6,",-67
1893-01-11T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-11T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-11T00:00:00,TMAX,GHCND:USC00422721,",,6,",33
1893-01-11T00:00:00,TMIN,GHCND:USC00422721,",,6,",-56
1893-01-12T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-12T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-12T00:00:00,TMAX,GHCND:USC00422721,",,6,",44
1893-01-12T00:00:00,TMIN,GHCND:USC00422721,",,6,",-67
1893-01-13T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-13T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-13T00:00:00,TMAX,GHCND:USC00422721,",,6,",11
1893-01-13T00:00:00,TMIN,GHCND:USC00422721,",,6,",-56
1893-01-14T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-14T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-14T00:00:00,TMAX,GHCND:USC00422721,",,6,",17
1893-01-14T00:00:00,TMIN,GHCND:USC00422721,",,6,",-67
1893-01-15T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-15T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-15T00:00:00,TMAX,GHCND:USC00422721,",,6,",-11
1893-01-15T00:00:00,TMIN,GHCND:USC00422721,",,6,",-56
1893-01-16T00:00:00,PRCP,GHCND:USC00422721,",,6,",178
1893-01-16T00:00:00,SNOW,GHCND:USC00422721,",,6,",165
1893-01-16T00:00:00,TMAX,GHCND:USC00422721,",,6,",0
1893-01-16T00:00:00,TMIN,GHCND:USC00422721,",,6,",-44
1893-01-17T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-17T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-17T00:00:00,TMAX,GHCND:USC00422721,",,6,",0
1893-01-17T00:00:00,TMIN,GHCND:USC00422721,",,6,",-122
1893-01-18T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-18T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-18T00:00:00,TMAX,GHCND:USC00422721,",,6,",-17
1893-01-18T00:00:00,TMIN,GHCND:USC00422721,",,6,",-150
1893-01-19T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-19T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-19T00:00:00,TMAX,GHCND:USC00422721,",,6,",-72
1893-01-19T00:00:00,TMIN,GHCND:USC00422721,",,6,",-139
1893-01-20T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-20T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-20T00:00:00,TMAX,GHCND:USC00422721,",,6,",-28
1893-01-20T00:00:00,TMIN,GHCND:USC00422721,",,6,",-106
1893-01-21T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-21T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-21T00:00:00,TMAX,GHCND:USC00422721,",,6,",-39
1893-01-21T00:00:00,TMIN,GHCND:USC00422721,",,6,",-144
1893-01-22T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-22T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-22T00:00:00,TMAX,GHCND:USC00422721,",,6,",-22
1893-01-22T00:00:00,TMIN,GHCND:USC00422721,",,6,",-133
1893-01-23T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-23T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-23T00:00:00,TMAX,GHCND:USC00422721,",,6,",-17
1893-01-23T00:00:00,TMIN,GHCND:USC00422721,",,6,",-128
1893-01-23T00:00:00,WT01,GHCND:USC00422721,",,6,",1
1893-01-24T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-24T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-24T00:00:00,TMAX,GHCND:USC00422721,",,6,",-22
1893-01-24T00:00:00,TMIN,GHCND:USC00422721,",,6,",-139
1893-01-25T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-25T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-25T00:00:00,TMAX,GHCND:USC00422721,",,6,",-22
1893-01-25T00:00:00,TMIN,GHCND:USC00422721,",,6,",-128
1893-01-26T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-26T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-26T00:00:00,TMAX,GHCND:USC00422721,",,6,",72
1893-01-26T00:00:00,TMIN,GHCND:USC00422721,",,6,",-78
1893-01-27T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-27T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-27T00:00:00,TMAX,GHCND:USC00422721,",,6,",78
1893-01-27T00:00:00,TMIN,GHCND:USC00422721,",,6,",44
1893-01-28T00:00:00,PRCP,GHCND:USC00422721,",,6,",102
1893-01-28T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-28T00:00:00,TMAX,GHCND:USC00422721,",,6,",72
1893-01-28T00:00:00,TMIN,GHCND:USC00422721,",,6,",-50
1893-01-29T00:00:00,PRCP,GHCND:USC00422721,",,6,",114
1893-01-29T00:00:00,SNOW,GHCND:USC00422721,",,6,",165
1893-01-29T00:00:00,TMAX,GHCND:USC00422721,",,6,",22
1893-01-29T00:00:00,TMIN,GHCND:USC00422721,",,6,",-72
1893-01-30T00:00:00,SNOW,GHCND:USC00422721,"T,,6,",0
