date,PRCP,SNOW,SNWD,TMAX,TMIN,attribute_PRCP,attribute_SNOW,attribute_SNWD,attribute_TMAX,attribute_TMIN
1893-01-01T00:00:00,0.0,0.0,,50.0,-67.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-02T00:00:00,0.0,0.0,,17.0,-44.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-03T00:00:00,0.0,0.0,,67.0,-44.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-04T00:00:00,0.0,0.0,,94.0,-50.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-05T00:00:00,0.0,0.0,,33.0,-56.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-06T00:00:00,0.0,0.0,,28.0,-50.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-07T00:00:00,0.0,0.0,,22.0,-83.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-08T00:00:00,0.0,0.0,,33.0,-78.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-09T00:00:00,0.0,0.0,,-6.0,-72.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-10T00:00:00,0.0,0.0,,-22.0,-67.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-11T00:00:00,0.0,0.0,,33.0,-56.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-12T00:00:00,0.0,0.0,,44.0,-67.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-13T00:00:00,0.0,0.0,,11.0,-56.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-14T00:00:00,0.0,0.0,,17.0,-67.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-15T00:00:00,0.0,0.0,,-11.0,-56.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-16T00:00:00,178.0,165.0,,0.0,-44.0,",,6,",",,6,",,",,6,",",,6,"
1893-01-17T00:00:00,0.0,0.0,,0.0,-122.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-18T00:00:00,0.0,0.0,,-17.0,-150.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-19T00:00:00,0.0,0.0,,-72.0,-139.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-20T00:00:00,0.0,0.0,,-28.0,-106.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-21T00:00:00,0.0,0.0,,-39.0,-144.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-22T00:00:00,0.0,0.0,,-22.0,-133.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-23T00:00:00,0.0,0.0,,-17.0,-128.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-24T00:00:00,0.0,0.0,,-22.0,-139.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-25T00:00:00,0.0,0.0,,-22.0,-128.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-26T00:00:00,0.0,0.0,,72.0,-78.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-27T00:00:00,0.0,0.0,,78.0,44.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-01-28T00:00:00,102.0,0.0,,72.0,-50.0,",,6,",",,6,",,",,6,",",,6,"
1893-01-29T00:00:00,114.0,165.0,,22.0,-72.0,",,6,",",,6,",,",,6,",",,6,"
1893-01-30T00:00:00,,0.0,,72.0,-78.0,,"T,,6,",,",,6,",",,6,"
1893-01-31T00:00:00,0.0,0.0,,-17.0,-83.0,"P,,6,",",,6,",,",,6,",",,6,"
1893-02-01T00:00:00,,,,-61.0,-167.0,,,,",,6,",",,6,"
1893-02-02T00:00:00,36.0,30.0,,-11.0,-139.0,",,6,",",,6,",,",,6,",",,6,"
1893-02-03T00:00:00,,,,22.0,-133.0,,,,",,6,",",,6,"
1893-02-04T00:00:00,,,,78.0,-61.0,,,,",,6,",",,6,"
1893-02-05T00:00:00,,,,72.0,-22.0,,,,",,6,",",,6,"
1893-02-06T00:00:00,,,,11.0,-83.0,,,,",,6,",",,6,"
1893-02-07T00:00:00,,,,33.0,-144.0,,,,",,6,",",,6,"
1893-02-08T00:00:00,,,,67.0,-100.0,,,,",,6,",",,6,"
1893-02-09T00:00:00,,,,39.0,-28.0,,,,",,6,",",,6,"
1893-02-10T00:00:00,94.0,,,33.0,-50.0,",,6,",,,",,6,",",,6,"
1893-02-11T00:00:00,,,,67.0,0.0,,,,",,6,",",,6,"
1893-02-12T00:00:00,86.0,,,44.0,-17.0,",,6,",,,",,6,",",,6,"
1893-02-13T00:00:00,,,,0.0,-122.0,,,,",,6,",",,6,"
1893-02-14T00:00:00,,,,0.0,-117.0,,,,",,6,",",,6,"
1893-02-15T00:00:00,,,,-11.0,-128.0,,,,",,6,",",,6,"
